polarity,review
0," Even though were dressed similarly to other patrons . <s>
9	The food was below average and the prices high . <s>
0	I had the shrimp scampi
0	and left
9	it unfinished
0	as it tasted
9	like it was cooked in bathroom cleaner . <s>
9	There are certainly other seafood places with better quality service and food for less expensive , definitley not worth the $ $ $ . <s>
1	Our table server was pleasant and professional , much more
9	than i can say for the hostess . <s>
9	Do not waste your time or $ $ $ there . <s>

0 0302596
9	Customer service hahaha ... what customer service . <s>
9	They are very very rude like they are
0	doing you a favor . <s>
9	Unknowledgeable is the word for that staff . <s>
9	Never again will i or anyone
0	i know go to nationwide vision again !!!! <s>
9	Worst time ever
9	and arguing with customers in front of other customers as well . <s>
9	Do you guys just hire anyone off the streets ??!! <s>
9	Do not i repeat do not go to this company !!! <s>
9	A fair warning has
9	been issued to all . <s>

0 0302781
9	The chuckbox is severely overrated . <s>
0	On the strength of its reputation , it was one of the first places
0	i tried
0	when i moved to tempe . <s>
0	Over the years i 've stopped by now and then to see
0	if it had gotten any better . <s>
9	Nope , still the same boring burgers . <s>
9	Char9broiling a burger over an open flame just does n't do it for me . <s>
9	It always results in a dry , bland burger . <s>
9	Mesquite or no ,
9	it does n't really make much difference
9	when you 're quickly broiling the burger . <s>
9	And it does n't help much
9	to pile on a bunch of junk from the condiment/topping bar
0	99
9	it just makes the thing a big mess . <s>
9	I 'd much rather have a burger
0	cooked on a flat griddle9surface
9	like they do it at delux
0	and welcome diner . <s>
0	And
9	when the kitchen applies the toppings for you ,
9	it results in a better melding of flavors with the rest of the burger . <s>

0 0303174
0	Well ,
0	what can i say ...
9	this place sure has gone downhill . <s>
0	I ate here in the past
1	and it was good . <s>
9	But not tonight ! <s>
0	Ordered chips/salsa , chimichanga , ...
9	all was bland
9	and no flavor . <s>
0	Friend ordered :
9	pollo enchalada w / beans and rice ... same story bland and old bean and rice . <s>
0	Only thing
0	i had
1	that was good
0	was the corona . <s>
0	Lol i had to look around again
0	to make sure
0	i was in a mexican joint . <s>
9	I will def not be back . <s>
0	Over
0	priced too . <s>
9	I suggest u go anywhere else but here . <s>

0 0303599
9	I am rating this restaurant with 1 star ,
9	but it deserves none . <s>
9	Everything
9	we ordered was bland . <s>
9	The wings had very little sauce ,
9	the ranch was watery and tasteless . <s>
9	The chicken was unseasoned and previously frozen . <s>
9	The pizza was equivalent to chuck9e9cheese in taste and quality . <s>
9	The calzone and pizza dough had obviously been previously frozen . <s>
9	The calzone and pizza crust were dry , as an actual native new yorker ,
9	my fellow new yorkers would be as disgusted with the food as my wife
9	and i were . <s>
0	We did not send anything back for its poor quality . <s>
0	We did n't see the point . <s>
0	We were hungry
0	and did not want to wait for anything else , especially
0	since other items must be of similar low quality . <s>
0	We ate
0	what we could ,
0	paid ,
0	and left . <s>
9	The bathrooms smelled horrible . <s>
9	The service was mediocre . <s>
9	All in all , a very disappointing experience . <s>
9	We will not be going back again . <s>

0 0303678
9	This culver 's has the worse service of any fast food place
9	that i have ever visited . <s>
0	Went last saturday
9	and sat behind one car in the drive thru . <s>
9	Sat for five minutes with the car in front of me being ignored . <s>
9	My passenger actually called
9	culver 's to try to get helped of course
9	hung up . <s>
9	Finally took order
9	and when i paid rather than apologize for the wait clerk
9	is laughing about it . <s>
9	They make
9	you pull up and than
9	when it backs up
9	the honking begins . <s>
9	Food would have to perfect to make up for the sorry service
9	and it is not even close . <s>
9	If you want to be laughed at for expecting even minimal service
9	this is the place for you . <s>

0 0303696
1	We walked into a nice atmosphere . <s>
1	The hostess was nice ,
1	and our waitress was great . <s>
9	The food was not good , and not worth the money
0	they are charging . <s>
9	The appetizers made no sense with the offerings on each plate . <s>
0	We have eaten at some of the best restaurants on the east coast , california , and new orleans ( commander 's palace for example ) . <s>
9	Cork 's offerings are way over9priced . <s>
9	The duck was so salty i could n't eat it ,
0	and they took the entree off the bill . <s>
9	My wife also complained about her entree
9	being too salty ,
9	but they did not take her plate off the bill . <s>
9	Sex discrimination ? <s>
0	Maybe . <s>
0	One thing is for sure . <s>
9	We wo n't be going back ,
9	and we wo n't be referring any friends here . <s>

0 0303811
0	I have
0	been shopping here
0	since moving to tempe a year ago
0	and have never had any problems until now . <s>
9	I was diagnosed with food poisoning from organic melons
0	grown in mexico
0	that i had bought at whole foods . <s>
0	I called the store manager steve just now to let him know
0	what had happened . <s>
0	All is said
0	was that the flu had been going around . <s>
0	Amazing
9	that he would not even acknowledge what i was telling him . <s>
9	The biggest disappointment is
9	that he did not even ask how i was doing or zip ! <s>
9	I could not believe it , so rude . <s>
9	I will never step foot in that store again . <s>
0	I hope
9	that steve is not an example
9	of what whole foods corp management is made of . <s>
9	Very sad indeed <s>

0 0303864
0	We decided to head over to friends
0	after seeing a band at the rhythm room . <s>
0	We were shocked to find out it is now  club echelon """
0,"and if you are white ,"
9,you are not allowed in . <s>
0,We called a cab
9,and waited . <s>
9,"While we waited ,"
9,we witnessed
9,each club echelon patron getting
9,packed down to see
9,if they carried weapons . <s>
9,We did not feel safe at all . <s>
9,I will never return to this bar . <s>
9,Should be renamed to unfriends . <s>
9,In my entire life i 've never
9,been told i 'm not welcome because of the color of my skin . <s>
9,Goodbye friends . <s>
9,So sad . <s>
9,This is honestly the worst starbucks experience
9,that i 've ever encountered . <s>
0,That
0,"being said ,"
1,i go here almost everyday
1,because it 's right
1,by where i live . <s>
9,"Although , i 'm"
9,starting to go up to the happy valley location more now . <s>
9,"For some reason , this starbucks drive thru is frighteningly slow . <s>"
9,Almost upsetting slow . <s>
9,I have tried
9,to figure it out
9,but i ca n't . <s>
9,A couple times last week
9,whoever takes the orders was trying to be funny
9,and would n't just take my order
9,and it was terribly unprofessional and annoying . <s>
9,Every time
9,i get
9,my coffee drink i swear i
9,wo n't be back ...
0,but i do . <s>
9,They really need to up their customer service
9,and speed it up a bit . <s>
1,It 's a prime location
9,if they can pull it together . <s>
0,The positive reviews are way off the mark . <s>
0,"My guess is though ,"
0,"that like most patrons of this place , they 've never experienced vietnamese food before , or at least quality vietnamese food . <s>"
0,If you 've
0,"lived in a city with a sizable vietnamese population , like say , san francisco , la , washington , dc , seattle , etc ,"
0,you would know
9,this place is absolutely the bottom
9,rung for vietnamese food . <s>
1,The atmosphere is nice
0,and i had extremely high hopes . <s>
0,One thing
0,"that struck me as odd ,"
0,"and probably a sign of things to come , was the almost complete lack of any vietnamese people"
0,there !! <s>
0,Servers or diners alike ! <s>
0,I got the feeling
0,most people
0,eating here
0,do n't know the difference between bun bo hue and bo luc lac . <s>
0,Nothing wrong with that ...
0,you just have no idea
0,what you 're missing . <s>
9,"Besides that , the service was awful . <s>"
9,This is a huge disappointment . <s>
0,Now vietnamese restaurants are n't known for their service
9,but this place was amazingly bad . <s>
9,Our server never once asked us
9,"if we wanted refills ,"
9,and it took nearly a half an hour
9,to get our pho . <s>
0,"For those not in the know ,"
0,pho is extremely easy to make
0,once you have the broth . <s>
0,It should only take 10 minutes or so
0,"to have this ready , tops . <s>"
0,If you think
0,i 'm off
0,"my rocker do yourself a favor and visit one of these : khai hoan ( the best ) , da"
0,"vang ( really good ) ,"
0,"and cyclo ( kind of over rated ,"
9,but this place puts dragonfly to shame ) . <s>
9,This michael 's sucks ! <s>
0,We were there friday night
0,to get a few craft items for the baby 's room . <s>
0,I also needed some items
0,to make my baby shower favors with . <s>
0,It was pretty busy
0,when we got there . <s>
9,But was there a team member around to answer questions ? <s>
9,Nope ! 2 workers were in the store ...
9,total ... from what we saw . <s>
9,After trying to figure and locate eveything on our own ... with no luck . <s>
9,J and i dropped all the items
0,we had
9,and left . <s>
9,We should have just made the drive to joann 's in scottsdale . <s>
0,I went this location a few minutes ago on union hills drive . <s>
0,"The signature service was about $ 50 for my v8 jeep grand cherokee ,"
9,which seemed high . <s>
0,"Luckily , i had a $ 5 off coupon on my phone . <s>"
0,I was surprised to learn
9,that
9,"if i did n't have that coupon on my phone ( or printed ) ,"
9,they would not honor the $ 5 off . <s>
9,"Thus , you need"
9,to be sure
9,and have the coupon printed or available on your phone . <s>
9,"Worst of all , they tried to charge me $ 3.90 extra for "" topping off my coolant . <s>"
0,"
0	When i asked about this ,
9	the guy quickly walked over to the car ,
9	checked , and then instantly explained  it 's full ,"
9,i 'll take that off . <s>
9," In other words , they tried to tack on an extra $ 3.90 for nothing . <s>
9	I bet a lot of people fall for that trick . <s>
0	I 'm glad
0	i did not . <s>
9	Be careful . <s>
9	I wo n't return to this location . <s>

0 0304345
0	This is first time
0	i try to use their service . <s>
0	Base on the review , i think
1	they should be good . <s>
0	We call for service for my water heater . <s>
9	They are way overcharged . <s>
9	I frankly told them
9	that i have to compare the service . <s>
9	They charged me 60.00
9	knowing
9	they will not get the job . <s>
9	Pretty sneaky company . 60 dollars just to tell me how much it cost me to get the installation done . <s>
9	Pretty easy money , huh ?! <s>
9	I bet
9	they do n't make business
9	by doing good job
9	but piling up the profit
9	by going out to make 60.00 for half hour . <s>
9	Take my advise ,
9	avoid them . <s>
1	I found a good plumber
1	after all and i believe
1	you will . <s>

1 0304396
0	I 've been here a couple of times now . <s>
0	I know
0	this is a chain hair
0	cutting joint
0	but thought i 'd review it anyways . <s>
0	Fantastic sams opened in this location a few months ago . <s>
0	This store is located
0	where the old shipping and mail store was . <s>
1	The inside is new and clean in appearance . <s>
1	While the employees have been pleasant and nice ,
0	the results of each visit are a mixed bag . <s>
0	On our last visit
9	the hair cutter gal really did a number on my kids hair
9	and it was n't a good number . <s>
9	I did n't realize right away
0	as my kid was bouncy and happy
0	and the hair was still wet and kind of combed or parted or something . <s>
9	But the next day i knew i 'd subjected my kid to a bad haircut
9	and was kinda ticked
0	that i left a tip . <s>
0	The last person
0	that cut my hair
1	was friendly
9	but kept nitpicking what should have been an extremely simple haircut of a buzz all the way around . <s>
9	It was kind of awkward really . <s>
9	My significant other
9	had her eyebrows slightly
9	butchered here on one occasion
1	but left happily with a great haircut on a different occasion . <s>
0	I think
9	i prefer a regular barber for myself and supercuts for a chain9type place . <s>
0	I guess
0	it does n't really matter as it 's
0	all in who 's cutting the hair
0	and i think
0	stylists tend to come and go from joints
9	like this so good and bad can be gone the next day forever
9	and i 'd never really know . <s>
0	I suppose
1	a bonus is
1	that it is located right next to a nail salon
1	so the ladies might enjoy doing something to their hair and then going next door
1	to get a foot massage or pedicure or something . <s>

1 0304594
9	This place is not that great . <s>
9	Shogun express has way better chicken teriyaki rice bowls and beyond . <s>
9	The chicken is what really bothered me here . <s>
9	It was really tough and extremely chewy . <s>
0	And that was the white meat . <s>
0	They 're bowls are around 5 bucks
1	which i like ,
9	but they 're not even filled to the top . <s>
0	All in all i came here
0	because shogun was closed
0	and there are n't any other rice bowl places in scottsdale
0	that i know of . <s>
0	Eh . <s>

1 0304636
9	Expensive for the lack of amenities . <s>
0	Parking was $ 28 and daily wifi was $ 10 . <s>
9	The room was small with a very tiny bathroom . <s>
9	When we questioned the high parking rate the attendant laughed at us . <s>
9	During the hot summer months we could have stayed at a nearby 5 star resort for less money . <s>
9	Even motel 6 has free wifi ! <s>
9	My opinion they should drop the regency from their name . <s>
9	There was no sign of regency here . <s>

1 0304868
1	I still like to shop here
1	since it is my closest big lots ,
9	but i have to dock them two stars due to customer service failures upon repeat visits . <s>
9	One issue is
9	that they appear reluctant to open up an additional cash register even
9	when lines grow seven customers deep . <s>
0	And i should mention
9	that this is
9	when other employees , in plain sight , occupy themselves with staring vacantly at invoices
9	as if to not be recruited
9	to help out . <s>
0	I tend to be pretty patient with slow check9outs ,
9	but it was a slow enough trudge
9	to drive my fellow shopper to irritation . <s>
0	While i took our cheap loot out to the car ,
9	he stayed behind to speak with a manager . <s>
9	We have also driven several miles to another big lots
9	because the wait
9	for getting help with buying furniture here was unacceptably long . <s>
9	I realize the one guy on staff
9	who brings furniture to the front sometimes get overwhelmed ,
9	but in this case , we had to vote with our feet . <s>
9	We already burned over half an hour here
9	trying to get anyone 's attention . <s>
9	This store should be cautioned to pick up their game . <s>
1	The big lots in at gilbert road and guadalupe ( in gilbert ) is much quicker and a better shopping experience . <s>

1 0304873
0	Let me start out
0	by saying
0	that had i written this review 2 years ago
1	it would have been at least 4 stars . <s>
9	At this point 2 is
9	all i can bring myself to give . <s>
0	Cork used
0	to have a sunday brunch
1	that was amazing
1	and priced very well . <s>
1	They also had bottomless mimosas . <s>
9	They stopped doing brunch
9	and from there the dinner service seemed to loose its luster as well . <s>
0	The food is sold
0	as being tapas or tasters
9	but the price does not reflect this . <s>
9	The service is so9so
9	and actual food is hit
9	or miss . <s>
0	Add to all of that 9
9	the hours keep changing . <s>
9	They are sometimes closed for the summer or not open certain days . <s>
9	We wo n't be back mostly because there are so many other places
9	we can get an amazing dinner but for half the cost . <s>

1 0304906
1	So the food was okay
9	nothing was great . <s>
9	Here were my biggest problems , 1st
9	the plates are to big ,
9	meaning i ordered the filet and broccoli . <s>
9	The steak is small
9	being a filet and the mashed potato
9	that was supposed to come with it was smaller than the steak . <s>
9	The plate was big
9	and the portion was not ,
9	so visually it was disappointing . <s>
9	Second issue was the dessert ,
0	we ordered two the first was the brownie
1	and that was great
0	the second was the white chocolate raspberry cheesecake . <s>
0	Here it is ,
9	that cheesecake is not a raspberry cheesecake . <s>
9	It is a regular cheesecake with white chocolate shavings and raspberry sauce . <s>
9	That was not what i was expecting . <s>

1 0305054
9	No free soda refills . <s>
0	Tried the golden nests per the review below . <s>
1	They were good ,
0	but the shell
9	itself is very dry and deep
9	fried and required a lot of additional sauce . <s>
0	I do n't think
9	i 'd get them again . <s>
9	The was a little slower than expected , but its a pretty small place . <s>
1	The pad thai was a large portion and the ingredients definitely tasted fresh
9	but i was not impressed . <s>
9	Tasted a little bland . <s>
9	The mosomon ( ap ) curry was also subpar . <s>
0	My husband said thai elephant 's curry better . <s>
9	They do n't accept amex
1	but they were friendly
1	and do have the good mints though ... <s>

1 0305141
1	I felt like pizza
0	so this was closest stop . <s>
0	Have n't been here in a really long time so
0	decided to give it a whirl . <s>
1	The board outside said 2 slices and a coke for 4.50 . <s>
1	Sign said seat yourself . <s>
0	Ordered a water to drink , was a toss up between a sandwich
0	or pizza/wings . <s>
0	Decided to go with special . <s>
0	Server comes over
0	i ordered
0	she said
9	the special is actually 4.95 not 4.50 , well then change it . <s>
0	Anyways not a big deal ,
0	she did n't ask
0	if i wanted a coke i 'm assuming
0	because she seen my water . <s>
0	Food came out
1	and it looked good . <s>
9	I was disappointed
9	that the crust was too doughy
9	and may have ruined the extra cheese experience . <s>
9	Meh ... not rushing back . . <s>

1 0305190
1	A fairly well realized monument to unabashed corporate card excess ,
1	fleming 's dutifully enables the expense account crowd . <s>
9	Food and service are sporadic and a poor value for anyone silly enough
9	to be spending their own money here . <s>
1	My wife 's tuna steak looked pretty ,
9	but was tough and fibrous . <s>
1	Salmon was satisfactory ,
9	but i can make better at home . <s>
1	Underlings fully invested in steak grunted unanimous satisfaction at the appropriate times . <s>
1	A hostess and bartender were both pleasant , charming even ,
9	however table service can be embarrassingly gushy ( another reviewer mentioned ass9kissing ) . <s>
0	This is the kind of place
9	where bringing a pile of onion rings or a lettuce wedge to the table takes three chattering sycophants . <s>
9	We endured a flowery speech and unsolicited updates on lava cake ,
9	until it finally arrived half an hour
0	after entrees were cleared . <s>
9	Hardly worth a wait . <s>
9	The whole meal took forever ,
9	which in an attractive , upscale room is often confused with fine dining . <s>
1	Paul fleming is a respected restauranteur ,
1	and rightly so
1	based on my visits to his other kitchens . <s>
9	But i am not that confused . <s>

1 0305714
0	Groupon now brought us in at 7:38 . <s>
0	While it was before the 8 pm deadline ,
0	groupon now had ended . <s>
0	Instead of walking out ,
0	the owner said
0	he would still give us the deal . <s>
9	Did n't happen . <s>
0	I realize
0	that is a groupon now problem but
0	knowing that is what brought us
0	in you would think
0	they would make something happen . <s>
0	Their menu and prices are higher in store then their own website . <s>
9	Good bait and switch . <s>
9	Dingy inside ... lightbulbs out everywhere
9	including right over booths , extension cords
0	used to light signs . <s>
9	Multiple flavors on fountain out . <s>
1	Positive note ; salad and pizza were great
0	except our particular pizza advertised fresh basil
0	for which it did n't have . <s>
9	The bait and switch , alone , with higher in9store prices then their own website leaves a bad taste however
9	and is enough for me not to go back . <s>
9	It 's just a cheap money grab . <s>

1 0305968
9	I must 've gone on bizarro night . <s>
0	The blonde hostess
9	others seem to fear and loathe
1	was very nice and pleasant . <s>
1	The food looked delicious ,
1	and came out quickly ,
9	but was way too salty . <s>
9	Bordering on inedible . <s>
1	I was excited for the cheese/prosciutto appetizer ,
9	but could n't finish it . <s>
9	The pizza was equally salty ,
9	and to make matters worse 9
9	the center was soggy
9	and the outside was blackened . <s>
9	Did n't finish that either . <s>
9	Maybe i went on an off night ? <s>
9	Bottom line : definitely does n't live up to the hype . <s>
9	Oh 9 and as for the wait ...
9	it was about 90minutes ,
9	which was expected ( monday at 5:30 pm ) . <s>

1 0306241
0	I come here
0	to do research
1	because the wireless is pretty fast ,
9	but i am pissed
9	that there policy is to filter whatever the hell
9	they want . <s>
0	The food is just ok . <s>
0	The soup is average
1	and the salads are pretty good
0	once i modify there regular ones . <s>
9	I do n't like their sandwiches at all . <s>
1	Really , i only come here for the ice tea . <s>
1	I like free wireless and i like ice tea . <s>
9	They need more booths with outlets ,
9	and they need to turn the ac down ! <s>
9	It 's freezing in there ! <s>

1 0306470
9	Im reluctantly giving the vig uptown 2 stars
9	because they really pissed me off . <s>
9	I give them 2
1	because they actually have good food ...
1	at least the macaroni and cheese was good . <s>
0	Dont know about anything else . ,
9	but their ethics
9	beyond sucked ! <s>
0	Jan. 20th , we made reservations for 20 for my 40th birthday dinner . <s>
0	We made them 1 week ahead of time ,
9	to show up with nothing
9	saved for us ...
9	made us wait an hour ...
9	then finally gave us a seat in the back corner with no tables ! <s>
9	We had to eat holding our plates !! <s>
0	Luckily , my friends are cool
9	and we still enjoyed each other ,
9	but the vig really took a big poo on my special night . <s>
9	They didnt even say  sorry "" or do anything for me"
9,to make up for it . <s>
9,I posted the complaint on their facebook wall to only have them take it down quickly . <s>
9,Dont make reservations !! <s>
9,They do not honor it . <s>
9,We actually watched our table be held with no explanation
9,and then watched another group come and take it as we sat in a corner . <s>
9,Come to find out ...
9,it was friends of the manager . <s>
9,Suck it vig uptown ! <s>
9,You 'll never see me and many of my friends again . <s>
0,I decided to join yelp because of this place . <s>
0,"Came in for brunch today , the place was busy"
1,and and had good vibe . <s>
1,Everyone was friendly
9,but that 's all
9,there is to this place . <s>
9,The wait staff was all over the place . <s>
9,We had to grab someone 20 mins after we sat down
0,to place our order . <s>
0,We saw
9,what appears to be our food
9,sitting at the food window . <s>
9,It turned out to be ours
9,after sitting there for a good 10 mins . <s>
9,An hour
9,after sitting down we finally got our food
9,which was mediocre at best . <s>
1,It 's a lot of food for the money
9,but i 'd rather take my money elsewhere . <s>
9,They were apologetic
1,and food was on the house
9,but we 're not coming back . <s>
0,This review is for the shot clinic
0,"they had in may , 2013 . <s>"
0,I have been to several shot clinics
0,and have been in and out in an hour or so
0,when i was at the back of the line . <s>
0,"Here i was the 6th person in line ,"
9,and waited about 2 hours . <s>
9,The vet was so slow . <s>
0,He would spend 20930 minutes with a dog . <s>
9,It was crazy . <s>
0,"This is a shot clinic ,"
1,intended to just get in and out . <s>
0,"If you want to have a regular vet visit ,"
0,go to your vet . <s>
9,I do n't have time for this with a toddler
9,running around . <s>
0,I just need my dogs
0,to get shots . <s>
0,"We then had blood drawn ,"
0,and waited another 20 minutes
0,to get the results (
0,the test took
0,5 minutes )
9,this shot clinic wasted my whole saturday . <s>
9,I was not happy . <s>
0,"I wanted to like this place , i really did . <s>"
1,It 's kinda euro cool
0,and feels
1,like it might be really unique . <s>
1,I love the old tempe style tall brick walls and the clean interior design . <s>
1,"We were greeted with a friendly smile and a "" no worries "" from our waitress . <s>"
9,"However , at that point , it went downhill so fast . <s>"
0,"First off ,"
0,"we ordered a couple of latte 's ,"
9,"and found them to be lukewarm instead of hot ( plus ,"
9,"they were all foam ,"
9,which means the barman was having trouble with the difference between capuccino 's and latte 's ) . <s>
1,They remade them
1,and we set about having a good time once again . <s>
9,"But then , our waitress was noticeably absent most of the time . <s>"
9,It took forever
9,to order the food . <s>
9,Forever to get the food . <s>
9,Forever to get the bill . <s>
9,Just absolutely terrible service . <s>
0,"Meanwhile ,"
9,"while we 're doing all this waiting ,"
0,there are three or four waitstaff and a manager
9,hanging around
9,and chatting by the cash register . <s>
0,I think
1,"this place has potential ,"
9,but i would call my investment in caffe boa a disaster . <s>
9,We wo n't be back . <s>
9,We had a very disappointing experience today at over easy . <s>
9,"First of all , the service was lousy , slow and inattentive . <s>"
9,We had to remind the waiter
9,twice to bring drinks and once to bring toast
9,that came with my father 's meal . <s>
9,The food was equally unremarkable :
9,i had the cheddar biscuits and gravy
9,"and they were bland , barely seasoned and cold . <s>"
0,"My husband had the famed "" waffle dogs """
0,and he said
0,"they were "" decent , """
0,but that 's about it . <s>
0,Our friend had the chicken fried steak
0,and found
9,"it lacked seasoning ,"
9,and the breading was sliding off of the meat . <s>
0,She said
1,"the hash browns were the best part of the plate ,"
0,"giving them "" three stars . <s>"
